country name;country code;metric;metric code;year;value
Belarus;BLR;Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita);EN.GHG.CO2.PC.CE.AR5;1990;10.357051304951
Belarus;BLR;Renewable energy consumption (% of total final energy consumption);EG.FEC.RNEW.ZS;1990;0.9
Belarus;BLR;Government expenditure on education, total (% of GDP);SE.XPD.TOTL.GD.ZS;1990;
Belarus;BLR;Current health expenditure per capita (current US$);SH.XPD.CHEX.PC.CD;1990;
Belarus;BLR;Individuals using the Internet (% of population);IT.NET.USER.ZS;1990;0
Belarus;BLR;GNI, PPP (constant 2021 international $);NY.GNP.MKTP.PP.KD;1990;126109105025.312
Belgium;BEL;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;1990;29609.6207847014
Belgium;BEL;Gini index;SI.POV.GINI;1990;
Belgium;BEL;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;1990;
Belgium;BEL;Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita);EN.GHG.CO2.PC.CE.AR5;1990;11.6187615620917
Belgium;BEL;Renewable energy consumption (% of total final energy consumption);EG.FEC.RNEW.ZS;1990;1.3
Belgium;BEL;Government expenditure on education, total (% of GDP);SE.XPD.TOTL.GD.ZS;1990;
Belgium;BEL;Current health expenditure per capita (current US$);SH.XPD.CHEX.PC.CD;1990;
Belgium;BEL;Individuals using the Internet (% of population);IT.NET.USER.ZS;1990;0.00101
Belgium;BEL;GNI, PPP (constant 2021 international $);NY.GNP.MKTP.PP.KD;1990;
Belize;BLZ;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;1990;4111.68186005974
Belize;BLZ;Gini index;SI.POV.GINI;1990;
Belize;BLZ;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;1990;
Belize;BLZ;Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita);EN.GHG.CO2.PC.CE.AR5;1990;0.686053879263257
Belize;BLZ;Renewable energy consumption (% of total final energy consumption);EG.FEC.RNEW.ZS;1990;38
Belize;BLZ;Government expenditure on education, total (% of GDP);SE.XPD.TOTL.GD.ZS;1990;
Belize;BLZ;Current health expenditure per capita (current US$);SH.XPD.CHEX.PC.CD;1990;
Belize;BLZ;Individuals using the Internet (% of population);IT.NET.USER.ZS;1990;0
Belize;BLZ;GNI, PPP (constant 2021 international $);NY.GNP.MKTP.PP.KD;1990;1480464347.18565
Benin;BEN;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;1990;749.459666604983
Benin;BEN;Gini index;SI.POV.GINI;1990;
Benin;BEN;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;1990;
Benin;BEN;Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita);EN.GHG.CO2.PC.CE.AR5;1990;0.0751872723530663
Benin;BEN;Renewable energy consumption (% of total final energy consumption);EG.FEC.RNEW.ZS;1990;93.7
Benin;BEN;Government expenditure on education, total (% of GDP);SE.XPD.TOTL.GD.ZS;1990;
Benin;BEN;Current health expenditure per capita (current US$);SH.XPD.CHEX.PC.CD;1990;
Benin;BEN;Individuals using the Internet (% of population);IT.NET.USER.ZS;1990;0
Benin;BEN;GNI, PPP (constant 2021 international $);NY.GNP.MKTP.PP.KD;1990;11432159499.7278
Bermuda;BMU;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;1990;89089.7346423608
Bermuda;BMU;Gini index;SI.POV.GINI;1990;
Bermuda;BMU;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;1990;
